Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
204,,,,,PNAS,https://www.pnas.org/content/107/34/15129,Process resources,Expel resources,"Expel liquids,Expel solids","Expel liquids,Expel solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",
205,,,,,PNAS,https://www.pnas.org/content/107/17/7835,Protect from harm,Protect from non-living threats,Protect from temperature,"Modify material characteristics,Protect from temperature",
206,,,,,"PNAS,Bioinspiration & Biomimetics",https://www.pnas.org/content/107/15/7048,"Move,""Sense, send, or process information""","Active movement,Send signals,Sense signals/environmental cues,Process signals","Sense sound/vibrations,Send sound signals,Respond to signals,Send vibratory signals,Convert signals,Differentiate signal from noise","Navigate through air,Sense sound and other vibrations from the environment",https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/
208,,,,,PNAS,https://www.pnas.org/content/107/15/6941,"""Sense, send, or process information""",Sense signals/environmental cues,Sense spatial awareness/balance/orientation,"Navigate through air,Sense balance/orientation",https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/
209,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,PNAS,Journal of Experimental Zoology,Proceedings of the Royal Society B",https://www.pnas.org/content/107/12/5495,"Maintain structural integrity,Move","Manage structural forces,Active movement","Manage wear,Actively move through gases","Manage mechanical wear,Modify speed,Move in/through gases",
210,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,PNAS,Journal of Experimental Zoology,Proceedings of the Royal Society B",https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.708,"Maintain structural integrity,Move","Manage structural forces,Active movement","Manage wear,Actively move through gases","Manage mechanical wear,Modify speed,Move in/through gases",
211,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,PNAS,Journal of Experimental Zoology,Proceedings of the Royal Society B",https://royalsocietypublishing.org/doi/10.1098/rspb.2003.2637,"Maintain structural integrity,Move","Manage structural forces,Active movement","Manage wear,Actively move through gases","Manage mechanical wear,Modify speed,Move in/through gases",
212,,,,,PNAS,https://www.pnas.org/content/107/11/4820,"Move,Protect from harm","Protect from non-living threats,Active movement","Protect from wind,Actively move through gases","Modify position,Move in/through gases,Navigate through air,Protect from wind",https://www.sciencedaily.com/releases/2010/03/100301151933.htm
213,,,,,PNAS,https://www.pnas.org/content/107/5/2082,"Maintain ecological community,Process resources","Group benefit,Capture resources,Distribute resources","Compete within/between species,Capture solids,Distribute liquids","""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100111/full/news.2010.5.html?s=news_rss#B2
214,,,,,PNAS,https://www.pnas.org/content/106/48/20210,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.nytimes.com/2010/01/19/science/19creatures.html
215,,,,,PNAS,https://www.pnas.org/content/106/46/19334,Protect from harm,Protect from non-living threats,Protect from temperature,"Protect from temperature,Regulate cellular processes",
216,,,,,PNAS,https://www.pnas.org/content/106/46/19334,Protect from harm,Protect from non-living threats,"Protect from chemicals,Protect from loss of liquids","Protect from chemicals,Protect from loss of liquids,Regulate cellular processes",https://www.seeker.com/worlds-hardiest-life-form-explained-1764735355.html
217,,,,,"PNAS,Current Biology",https://www.pnas.org/content/106/38/16185,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,"Maintain homeostasis,Sense temperature cues from the environment",
218,,,,,"PNAS,Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(10)00867-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982210008675%3Fshowall%3Dtrue,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,"Maintain homeostasis,Sense temperature cues from the environment",
219,,,,,PNAS,https://www.pnas.org/content/106/36/15394,Maintain ecological community,Group benefit,Cooperate within/between species,"Cooperate/compete between different species,""Capture, absorb, or filter chemical entities""",https://www.livescience.com/5593-secret-cicada-abundance-bacteria.html
220,,,,,PNAS,https://www.pnas.org/content/106/18/7289,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",
221,,,,,"PNAS,Nature Reviews Microbiology",https://www.pnas.org/content/105/13/5139,Protect from harm,Protect from non-living threats,Protect from radiation,"Modify free radical reactivity,Protect from nuclear radiation",
222,,,,,"PNAS,Nature Reviews Microbiology",https://www.nature.com/articles/nrmicro2073,Protect from harm,Protect from non-living threats,Protect from radiation,"Modify free radical reactivity,Protect from nuclear radiation",
223,,,,,PNAS,https://www.pnas.org/content/105/13/5139,"Protect from harm,Maintain ecological community","Protect from living threats,Individual benefit","Protect from animals,Regulate reproduction or growth","Protect from animals,Regulate reproduction or growth",
224,,,,,"PNAS,Journal of Chemical Ecology",https://www.pnas.org/content/104/43/16964,"Protect from harm,Maintain ecological community","Protect from living threats,Individual benefit","Protect from plants,Regulate reproduction or growth,Manage populations/pests/diseases","Protect from plants,Regulate reproduction or growth,""Biological control of populations, pests, diseases""",
225,,,,,"PNAS,Journal of Chemical Ecology",https://link.springer.com/article/10.1007%2Fs10886-009-9707-4,"Protect from harm,Maintain ecological community","Protect from living threats,Individual benefit","Protect from plants,Regulate reproduction or growth,Manage populations/pests/diseases","Protect from plants,Regulate reproduction or growth,""Biological control of populations, pests, diseases""",
226,,,,,"PNAS,Behavioral Ecology and Sociobiology,""The Bees of the World, Second Edition"",The Beekeeper's Handbook",https://www.pnas.org/content/104/36/14383,Maintain ecological community,Individual benefit,"Cooperate within/between species,Regulate reproduction or growth","Cooperate within the same species,Sense sound and other vibrations from the environment,""Sense chemicals (odor, taste, etc.) from the environment""",
227,,,,,"PNAS,Behavioral Ecology and Sociobiology,""The Bees of the World, Second Edition"",The Beekeeper's Handbook",https://link.springer.com/article/10.1007/s00265-010-0911-6,"""Sense, send, or process information""",Sense signals/environmental cues,"Cooperate within/between species,Sense chemicals","Cooperate within the same species,Sense sound and other vibrations from the environment,""Sense chemicals (odor, taste, etc.) from the environment""",
228,,,,,"PNAS,Behavioral Ecology and Sociobiology,""The Bees of the World, Second Edition"",The Beekeeper's Handbook","https://www.pnas.org/content/113/26/7261#:~:text=In%20bumblebees%2C%20the%20mechanical%20response,or%20sound%20particle%20velocity%20receivers.","""Sense, send, or process information""",Sense signals/environmental cues,"Sense electricity/magnetism,Sense atmospheric conditions,Sense touch and mechanical forces","Cooperate within the same species,Sense sound and other vibrations from the environment,""Sense chemicals (odor, taste, etc.) from the environment""",
229,,,,,PNAS,https://www.pnas.org/content/104/18/7600,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
230,,,,,PNAS,https://www.pnas.org/content/104/18/7600,Chemically modify or Change energy state,Change energy state,Modify/convert electrical energy,"Chemically generate flow of electrons (redox),Modify chemical potential",
231,,,,,PNAS,https://www.pnas.org/content/103/46/17543,Chemically modify or Change energy state,Change energy state,Modify/convert mechanical energy,Transform mechanical energy,
232,,,,,PNAS,https://www.pnas.org/content/103/15/5764.full?m,Attach,Attach permanently,,Attach permanently,http://pubsapp.acs.org/cen/news/84/i16/8416biomaterials.html?
233,,,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics",https://www.pnas.org/content/102/50/18213.full?origin=publication_detail,Move,Active movement,Actively move through gases,Move in/through gases,
234,,,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics",https://pubmed.ncbi.nlm.nih.gov/14581590/,Move,Active movement,Actively move through gases,Move in/through gases,
235,,,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics",https://www.jstor.org/stable/10.1086/678955?seq=1,Move,Active movement,Actively move through gases,Move in/through gases,
236,,,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics",https://www.annualreviews.org/doi/abs/10.1146/annurev.fluid.36.050802.121940,Move,"Active movement,Passive movement","Actively move through gases,Passively move through gases",Move in/through gases,
237,,,,,"PNAS,Nature",https://www.pnas.org/content/102/7/2555.full,"Maintain ecological community,Chemically modify or Change energy state","Individual benefit,Change energy state","Regulate reproduction or growth,Modify/convert chemical energy","Regulate reproduction or growth,Transform chemical energy",
238,,,,,"PNAS,Nature",https://www.nature.com/articles/nature10325,"Maintain ecological community,Chemically modify or Change energy state","Individual benefit,Change energy state","Regulate reproduction or growth,Modify/convert chemical energy","Regulate reproduction or growth,Transform chemical energy",
239,,,,,PNAS,https://www.pnas.org/content/102/2/385,"Attach,Move,Protect from harm","Attach temporarily,Protect from non-living threats,Passive movement","Protect from solids,Protect from excess liquids,Passively move through/on solids","Attach temporarily,Move in/on solids,Protect from dirt/solids,Protect from excess liquids",
240,,,,,PNAS,https://www.pnas.org/content/98/24/13745,"Protect from harm,""Sense, send, or process information""","Protect from living threats,Send signals","Protect from animals,Send light signals in the non-visible spectrum","Protect from animals,Send light signals in the non-visible spectrum",
241,,,,,"For the Love of Insects,PNAS,Integrative and Comparative Biology",https://www.pnas.org/content/97/12/6568,Attach,Attach temporarily,,Attach temporarily,
242,,,,,"For the Love of Insects,PNAS,Integrative and Comparative Biology",https://academic.oup.com/icb/article/42/6/1127/698299,Attach,Attach temporarily,,Attach temporarily,
243,,,,,"For the Love of Insects,PNAS,Integrative and Comparative Biology",https://www.pnas.org/content/107/8/3377,Attach,Attach temporarily,,Attach temporarily,
244,,,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,PNAS,Journal of Experimental Biology (JEB)",https://www.pnas.org/content/96/17/9705,"Process resources,Chemically modify or Change energy state","Expel resources,Change energy state","Expel liquids,Modify/convert thermal energy","Expel liquids,Transform thermal energy",
245,,,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,PNAS,Journal of Experimental Biology (JEB)",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.605.7037&rep=rep1&type=pdf,"Process resources,Chemically modify or Change energy state","Expel resources,Change energy state","Expel liquids,Modify/convert thermal energy","Expel liquids,Transform thermal energy",
246,,,,,Optical Materials Express,https://www.osapublishing.org/ome/abstract.cfm?uri=ome-1-1-85,Change size or color,Modify color,Change structural color,Modify light/color,https://www.eurekalert.org/pub_releases/2011-04/osoa-bbr042511.php
247,,,,,Optics Express,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-1-764,Process resources,Distribute resources,Distribute energy,Distribute energy,
248,,,,,"Journal of the Optical Society of America,Journal of the Royal Society Interface",https://www.osapublishing.org/josa/abstract.cfm?uri=josa-50-10-1005,"""Sense, send, or process information""",Send signals,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
249,,,,,"Journal of the Optical Society of America,Journal of the Royal Society Interface",https://royalsocietypublishing.org/doi/10.1098/rsif.2008.0395.focus,"""Sense, send, or process information""",Send signals,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
250,,,,,Canadian Journal of Botany,https://www.nrcresearchpress.com/doi/pdf/10.1139/b51-022,Process resources,Distribute resources,Distribute solids,"Disperse seeds,Distribute solids",
251,,,,,"Comparative Biomechanics: Life's Physical World,Life at Small Scale: The Behavior of Microbes,Canadian Journal of Zoology",https://www.nrcresearchpress.com/doi/abs/10.1139/z99-178,"Move,Process resources,Chemically modify or Change energy state","Store resources,Change energy state,Active movement","Store energy,Modify/convert mechanical energy,Actively move through/on solids,Actively move through gases","Modify surface tension,Move in/on solids,Move in/through gases,Store energy,Transform mechanical energy",
252,,,,,"Canadian Journal of Zoology,North American Fauna",https://www.nrcresearchpress.com/doi/10.1139/z75-073,Physically assemble/disassemble,Optimize shape/materials,Camouflage/mimicry,Optimize shape/materials,
253,,,,,"Canadian Journal of Zoology,North American Fauna",https://meridian.allenpress.com/naf/article/doi/10.3996/nafa.74.0001/187032/Ecology-and-Biology-of-the-Pacific-Walrus-Odobenus,Physically assemble/disassemble,Optimize shape/materials,,Optimize shape/materials,
254,,,,,"Comparative Biomechanics: Life's Physical World,Canadian Journal of Zoology",https://www.nrcresearchpress.com/doi/10.1139/z01-192,Attach,Attach temporarily,,Attach temporarily,
255,,,,,"Canadian Journal of Botany,Life Strategies of Succulents in Deserts",https://www.nrcresearchpress.com/doi/10.1139/b80-193,Process resources,Distribute resources,Distribute energy,"Distribute energy,""Capture, absorb, or filter energy""",
256,,,,,Physical Review E,https://www.ncbi.nlm.nih.gov/pubmed/19113150,Change size or color,Modify color,Change structural color,Modify light/color,
257,,,,,Veterinary Ophthalmology,https://www.ncbi.nlm.nih.gov/pubmed/14738502,"""Sense, send, or process information""",Sense signals/environmental cues,Sense light in the visible spectrum,"Modify light/color,Sense light (visible spectrum) from the environment",
258,,,,,"Design and Nature V: Comparing Design in Nature with Science and Engineering (WIT Transactions on Ecology and the Environment),Physiology of Rubber Tree Latex The Laticiferous Cell and Latex- A Modell of Cytoplasm,Biofouling,Marine Biology",https://www.ncbi.nlm.nih.gov/pubmed/14618718,"Chemically modify or Change energy state,Maintain structural integrity,Protect from harm","Chemically break down,Prevent structural failure,Protect from living threats","Chemically break down organic compounds,Prevent fracture/rupture,Protect from animals,Protect from microbes","Chemically break down organic compounds,Modify material characteristics,Prevent fracture/rupture,Protect from animals,Protect from microbes",
259,,,,,"Design and Nature V: Comparing Design in Nature with Science and Engineering (WIT Transactions on Ecology and the Environment),Physiology of Rubber Tree Latex The Laticiferous Cell and Latex- A Modell of Cytoplasm,Biofouling,Marine Biology",https://link.springer.com/article/10.1007/s00227-001-0710-8,"Chemically modify or Change energy state,Maintain structural integrity,Protect from harm","Chemically break down,Prevent structural failure,Protect from living threats","Chemically break down organic compounds,Prevent fracture/rupture,Protect from animals,Protect from microbes","Chemically break down organic compounds,Modify material characteristics,Prevent fracture/rupture,Protect from animals,Protect from microbes",
260,,,,,Science,https://www.ncbi.nlm.nih.gov/pubmed/11359008,Chemically modify or Change energy state,Chemically break down,Chemically break down inorganic compounds,"Chemically break down inorganic compounds,Modify oxidation state,""Capture, absorb, or filter chemical entities""",
261,,,,,Cell,https://www.ncbi.nlm.nih.gov/pubmed/2302732,"Protect from harm,""Sense, send, or process information""","Protect from non-living threats,Sense signals/environmental cues","Protect from wind,Sense touch and mechanical forces","Protect from wind,Sense touch and mechanical forces in a living system",https://www.newscientist.com/article/mg12617142-900-science-plant-switches-on-genes-in-response-to-touch/
262,,,,,"Scientific Reports,Robotics,Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940701/,"Move,Chemically modify or Change energy state","Change energy state,Active movement","Modify/convert mechanical energy,Actively move through/on solids","Move in/on solids,Transform mechanical energy",
263,,,,,"Scientific Reports,Robotics,Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://www.mdpi.com/2218-6581/5/3/15,"Move,Chemically modify or Change energy state","Change energy state,Active movement","Modify/convert mechanical energy,Actively move through/on solids","Move in/on solids,Transform mechanical energy",
264,,,,,"Scientific Reports,Robotics,Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://jeb.biologists.org/content/215/4/578,"Move,Chemically modify or Change energy state","Change energy state,Active movement","Modify/convert mechanical energy,Actively move through/on solids","Move in/on solids,Transform mechanical energy",
265,,,,,Toxicon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437917/,Protect from harm,"Protect from living threats,Protect from non-living threats","Protect from animals,Protect from chemicals","Protect from animals,Protect from chemicals",https://www.seeker.com/chemical-arms-race-opossum-vs-viper-1765310674.html
266,,,,,Proceedings of the Royal Society B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3081774/,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,https://www.bbc.com/future/article/20121114-election-day-animal-style/
267,,,,,Angewandte Chemie,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2912500/,"""Sense, send, or process information""",Send signals,Send light signals in the non-visible spectrum,Send light signals in the non-visible spectrum,
268,,,,,"Comparative Biomechanics: Life's Physical World,PLOS One",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2528943/,Chemically modify or Change energy state,Change energy state,Modify/convert mechanical energy,Transform mechanical energy,
269,,,,,"Comparative Biomechanics: Life's Physical World,PLOS One",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4959704/,Chemically modify or Change energy state,Change energy state,Modify/convert mechanical energy,Transform mechanical energy,
270,,,,,Journal of Anatomy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2048995/,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage impact","Manage compression,Manage impact",
271,,,,,Environmental Microbiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1974822/,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
272,,,,,Biology Letters,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1618885/,Process resources,Capture resources,Capture gases,"""Capture, absorb, or filter chemical entities""",
273,,,,,Scientific Reports,https://www.nature.com/articles/srep11890,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html
274,,,,,Scientific Reports,https://www.nature.com/articles/srep06004,"""Sense, send, or process information""",Sense signals/environmental cues,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
275,,,,,"Scientific Reports,Neuroscience",https://www.nature.com/articles/srep02617,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense shape and/or pattern,Sense touch and mechanical forces","Sense shape and pattern in a living system,Sense touch and mechanical forces in a living system",
276,,,,,"Scientific Reports,Neuroscience",https://www.ncbi.nlm.nih.gov/books/NBK10895/,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense shape and/or pattern,Sense touch and mechanical forces","Sense shape and pattern in a living system,Sense touch and mechanical forces in a living system",
277,,,,,Scientific Reports,https://www.nature.com/articles/srep02108,Maintain structural integrity,Manage structural forces,Manage impact,"Manage impact,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter liquids""",http://www.natureworldnews.com/articles/2812/20130705/spider-webs-react-electrically-charged-insects-increasing-capture-chances-video.htm
278,,,,,Scientific Reports,https://www.nature.com/articles/srep01846,Change size or color,Modify color,"Change chemical color/pigmentation,Camouflage/mimicry,Change structural color","""Capture, absorb, or filter energy""",
279,,,,,Scientific Reports,https://www.nature.com/articles/s41598-019-39583-7,Protect from harm,Protect from living threats,"Protect from microbes,Compete within/between species,Manage environmental disturbances,Manage populations/pests/diseases","Protect from microbes,Cooperate/compete between different species,Manage disturbance in a community,""Biological control of populations, pests, diseases""",https://www.sciencedaily.com/releases/2019/03/190301123242.htm
280,,,,,Scientific Reports,https://www.ncbi.nlm.nih.gov/pubmed/26324094,Protect from harm,Protect from living threats,"Protect from microbes,Compete within/between species,Manage environmental disturbances,Manage populations/pests/diseases","Protect from microbes,Cooperate/compete between different species,Manage disturbance in a community,""Biological control of populations, pests, diseases""",https://www.sciencedaily.com/releases/2019/03/190301123242.htm
281,,,,,Scientific Reports,https://www.ncbi.nlm.nih.gov/pubmed/20412310,Protect from harm,Protect from living threats,"Protect from microbes,Compete within/between species,Manage environmental disturbances,Manage populations/pests/diseases","Protect from microbes,Cooperate/compete between different species,Manage disturbance in a community,""Biological control of populations, pests, diseases""",https://www.sciencedaily.com/releases/2019/03/190301123242.htm
282,,,,,"AIP Conference Proceedings,Nature,RSC Advances",https://www.nature.com/articles/s41598-018-26571-6,Change size or color,Modify color,Camouflage/mimicry,Modify light/color,
283,,,,,"AIP Conference Proceedings,Nature,RSC Advances",https://ui.adsabs.harvard.edu/abs/2010AIPC.1284....5M/abstract,Change size or color,Modify color,Change structural color,Modify light/color,
284,,,,,"AIP Conference Proceedings,Nature,RSC Advances",https://pubs.rsc.org/en/content/articlelanding/2013/ra/c3ra41096j#!divAbstract,Change size or color,Modify color,Change structural color,Modify light/color,
285,,,,,Nature,https://www.nature.com/articles/s41586-020-1990-9,"Protect from harm,Maintain ecological community","Protect from living threats,Individual benefit","Protect from microbes,Regulate reproduction or growth","Protect from microbes,Regulate reproduction or growth",https://www.sciencedaily.com/releases/2020/02/200212131523.htm
286,,,,,Nature communications,https://www.nature.com/articles/s41467-020-14547-y.pdf?origin=ppub,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,
287,,,,,Nature communications,https://www.nature.com/articles/s41467-019-13660-x,"Physically assemble/disassemble,Protect from harm","Physically assemble structure,Protect from non-living threats","Cooperate within/between species,Protect from chemicals","Cooperate within the same species,Physically assemble structure,Protect from chemicals",https://nieuws.kuleuven.be/en/content/2020/researchers-discover-new-strategy-in-the-fight-against-antibiotic-resistance
288,,,,,Nature communications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3646963/,"Physically assemble/disassemble,Protect from harm","Physically assemble structure,Protect from non-living threats","Cooperate within/between species,Protect from chemicals","Cooperate within the same species,Physically assemble structure,Protect from chemicals",https://nieuws.kuleuven.be/en/content/2020/researchers-discover-new-strategy-in-the-fight-against-antibiotic-resistance
289,,,,,"Nature Reviews Microbiology,Macromolecular Bioscience",https://www.nature.com/articles/nrmicro2354,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,Chemically assemble polymers,
291,,,,,Nature Reviews Microbiology,https://www.nature.com/articles/nrmicro1442,Chemically modify or Change energy state,Change energy state,"Modify/convert electrical energy,Modify/convert chemical energy","Chemically generate flow of electrons (redox),Modify oxidation state",
292,,,,,"Nature Reviews Microbiology,The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://www.nature.com/articles/nrmicro842,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense spatial awareness/balance/orientation,Sense electricity/magnetism","Modify position,Sense balance/orientation,Sense electricity/magnetism from the environment",
293,,,,,"Microporous and Mesoporous Materials,Annual Review of Microbiology",https://www.nature.com/articles/nrmicro.2018.10,"Chemically modify or Change energy state,Process resources","Change energy state,Capture resources,Chemically break down","Modify/convert chemical energy,Capture gases,Chemically break down organic compounds","Catalyze chemical breakdown,""Capture, absorb, or filter energy"",""Modify concentration (of ions, solutes, etc)""",
294,,,,,"Microporous and Mesoporous Materials,Annual Review of Microbiology",https://www.sciencedirect.com/science/article/abs/pii/S1387181111005907?via%3Dihub,Chemically modify or Change energy state,"Change energy state,Chemically assemble","Modify/convert chemical energy,Chemically assemble organic compounds","Catalyze chemical breakdown,""Capture, absorb, or filter energy"",""Modify concentration (of ions, solutes, etc)""",
295,,,,,"Nature Reviews Molecular Cell Biology,Journal of Biological Chemistry",https://www.nature.com/articles/nrm2417,"""Sense, send, or process information""","Process signals,Send signals","Differentiate signal from noise,Respond to signals,Send electrical/magnetic signals,Convert signals","Compute,Differentiate signal from noise,Learn,Respond to signals,Send electrical/magnetic signals,Transduce/convert signals",
296,,,,,"Nature Reviews Molecular Cell Biology,Journal of Biological Chemistry",https://www.jbc.org/content/277/10/7629,"""Sense, send, or process information""","Process signals,Send signals","Differentiate signal from noise,Respond to signals,Send electrical/magnetic signals,Convert signals","Compute,Differentiate signal from noise,Learn,Respond to signals,Send electrical/magnetic signals,Transduce/convert signals",
298,,,,,Nature Physics,https://www.nature.com/articles/nphys1797,"Chemically modify or Change energy state,Physically assemble/disassemble","Chemically assemble,Physically assemble structure",Self-assemble,"Chemically assemble molecular devices,Chemically assemble on demand,Physically assemble structure",
300,,,,,Nature Materials,https://www.nature.com/articles/nmat858,Physically assemble/disassemble,Physically assemble structure,,"Physically assemble structure,""Capture, absorb, or filter organisms""",
303,,,,,"Nature communications,Nature",https://www.nature.com/articles/35086574,Process resources,"Capture resources,Absorb and/or filter resources","Capture solids,Absorb and/or filter liquids","Distribute solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",https://theconversation.com/what-can-fish-mouths-teach-us-about-engineering-clog-free-filters-56877
304,,,,,Nature communications,https://www.nature.com/articles/ncomms1373,"Chemically modify or Change energy state,Protect from harm","Chemically break down,Protect from non-living threats","Chemically break down organic compounds,Protect from temperature",Chemically break down polymers,
305,,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0907-537,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Cleave heavy metals from organic compunds,http://pubsapp.acs.org/cen/news/85/i29/8529notw8.html?
306,,,,,"Nature Chemical Biology,Nature",https://www.nature.com/articles/nchembio0906-453,"""Sense, send, or process information"",Chemically modify or Change energy state,Protect from harm","Send signals,Change energy state,Protect from living threats","Send electrical/magnetic signals,Modify/convert electrical energy,Protect from microbes",Chemically generate flow of electrons (redox),
307,,,,,"Nature Chemical Biology,Nature",https://www.nature.com/articles/nature04925,"""Sense, send, or process information"",Chemically modify or Change energy state,Protect from harm","Send signals,Change energy state,Protect from living threats","Send electrical/magnetic signals,Modify/convert electrical energy,Protect from microbes",Chemically generate flow of electrons (redox),
308,,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0207-86,Chemically modify or Change energy state,,,Catalyze chemical breakdown,
309,,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0107-15,Protect from harm,Protect from non-living threats,Protect from chemicals,"Protect from chemicals,Store chemical entities,""Capture, absorb, or filter chemical entities""",
310,,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio.2007.5,Protect from harm,Protect from living threats,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",
311,,,,,"Nature Chemical Biology,Journal of Biological Chemistry,Science",https://www.nature.com/articles/nchembio.1842,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""",
312,,,,,"Nature Chemical Biology,Journal of Biological Chemistry,Science",https://www.jbc.org/content/285/49/38115,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""",
313,,,,,"Nature Chemical Biology,Journal of Biological Chemistry,Science",https://science.sciencemag.org/content/319/5871/1816,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""",
314,,,,,Nature Chemistry,https://www.nature.com/articles/nchem.822,"Chemically modify or Change energy state,Protect from harm","Chemically assemble,Protect from non-living threats,Change energy state","Self-assemble,Protect from light,Modify/convert light energy","Chemically assemble polymers,Chemically break down polymers,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.sciencenews.org/article/light-harvesting-complexes-do-it-themselves
315,,,,,"Nature,Journal of comparative physiology",https://www.nature.com/articles/nature10245,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,Sense temperature cues from the environment,https://www.nature.com/news/2011/110803/full/news.2011.454.html
316,,,,,"Nature,Journal of comparative physiology",https://link.springer.com/article/10.1007%2FBF00610241,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,Sense temperature cues from the environment,https://www.nature.com/news/2011/110803/full/news.2011.454.html
318,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/nature08943,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,"Sense temperature cues from the environment,""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100314/full/news.2010.122.html?s=news_rss
319,,,,,"Nature,PNAS",https://www.nature.com/articles/nature08936,Chemically modify or Change energy state,Chemically assemble,Self-assemble,"Chemically assemble on demand,Modify material characteristics,Store chemical entities","https://www.sciencedaily.com/releases/2010/05/100512131511.htm
https://www.scientificamerican.com/article/researchers-build-micro-s/"
